"Maker and Month Wise Data for Chhattisgarh (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"KARTAR AGRO INDUSTRIES PVT LTD","15","1","8","1","0","7","1","3","0","36"
"KARTAR TRACTORS PRIVATE LIMITED","0","0","4","4","2","1","1","0","1","13"
"KHALSAE-VEHICLES PVT LTD","6","5","2","5","4","1","6","5","1","35"
"KIA INDIA PRIVATE LIMITED","903","774","343","338","329","310","341","289","34","3661"
"KINETIC GREEN ENERGY & POWER SOLUTIONS LTD","22","33","14","16","16","20","21","18","5","165"
"KINETIC WATTS AND VOLTS LTD","0","0","0","0","0","0","0","19","3","22"
"KION INDIA PVT LTD","0","0","2","0","1","0","1","0","0","4"
"KLB KOMAKI PVT LTD","5","2","6","6","7","8","3","7","0","44"
"KRISHNA ENGINEERING WORKS","1","0","0","0","0","0","2","0","0","3"
"KUBOTA AGRICULTURAL MACHINERY INDIA PVT.LTD.","4","3","2","26","3","1","3","2","0","44"
"KUKU AUTOMOTIVES","0","0","0","0","1","0","0","0","0","1"
"KULAR AGRO WORKS","1","0","0","0","0","0","0","0","0","1"
"KUSHAL AGRO IND","0","11","3","1","0","0","2","12","0","29"
"LAKSHYA AUTO SALES CORPORATION","0","1","0","0","0","0","0","1","0","2"
"LECTRIX E VEHICLES PVT LTD","1","41","0","4","1","2","1","1","0","51"
"LIUGONG INDIA PVT. LTD","3","5","3","1","1","1","3","2","1","20"
"LOCAL TRAILER MANUFACTURER","1364","1007","1061","841","689","679","766","480","79","6966"
"LOHIA AUTO INDUSTRIES","3","2","2","1","4","0","1","0","0","13"
"LUXUS GREEN MOBILITY PVT LTD","16","21","8","8","12","16","11","8","0","100"
"M.K. ENTERPRISES","0","0","0","0","0","0","1","0","0","1"
"M/S ASHOKA INDUSTRIES","0","0","1","0","0","0","0","0","0","1"
"M/S SCHWING STETTER (INDIA) PRIVATE LIMITED","2","7","1","2","3","1","1","1","0","18"
"M/S SHRIRAM AUTO TECH PVT LTD","3","0","0","0","0","0","0","0","0","3"
"MAA SHAKTI EXIM PVT LTD","0","0","3","1","0","0","0","0","0","4"
"MAHINDRA & MAHINDRA LIMITED","2236","2306","1364","1202","1128","1155","1122","1026","143","11682"
"MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION)","609","594","462","405","449","563","665","498","78","4323"
"MAHINDRA & MAHINDRA LIMITED (TRACTOR)","1601","1214","1186","1004","1077","1660","1813","1395","210","11160"
"MAHINDRA & MAHINDRA LTD FARM MACHINERY DIVISION","0","1","0","1","1","0","1","0","0","4"
"MAHINDRA DEFENCE SYSTEMS LTD","0","0","0","0","1","0","0","0","0","1"
"MAHINDRA ELECTRIC AUTOMOBILE LTD","35","38","53","55","75","71","70","61","0","458"
"MAHINDRA LAST MILE MOBILITY LTD","363","383","382","312","434","504","529","491","68","3466"
