"Maker and Month Wise Data for Uttar Pradesh (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"STELLANTIS AUTOMOBILES INDIA PVT LTD","78","29","29","28","28","20","40","27","3","282"
"STELLANTIS INDIA PVT LTD","24","18","14","20","12","11","13","7","2","121"
"STRENGTH AUTOELECTRIC PVT LTD","37","23","28","34","45","48","47","45","2","309"
"SUDHRAJ ELECTRIC MOBILITY PVT. LTD.","56","53","65","54","74","51","49","49","5","456"
"SUKHDEV AGRO INDUSTRIES","0","2","0","0","3","0","0","0","0","5"
"SUMFONL AUTO TRADERS PVT LTD","0","0","0","1","0","0","0","0","0","1"
"SUN INDUSTRIES","40","22","49","45","54","33","34","28","6","311"
"SUNSHINE TECHNOLOGIES","2","4","1","3","2","0","4","0","0","16"
"SUNULTRA POWER SOLUTIONS PVT LTD","2","3","0","2","0","1","2","0","0","10"
"SUPER METRO INDUSTRIES","63","51","66","58","111","67","121","82","17","636"
"SUPER POWER MOTORS","13","4","0","11","12","7","3","14","0","64"
"SUPER STANDARD AGRO COMBINE","1","0","1","0","0","0","0","0","0","2"
"SUPER TECHNO AUTOMOTIVE LLP","19","14","17","20","35","16","28","23","3","175"
"SUPERECO AUTOMOTIVE CO","0","2","0","2","1","0","0","0","0","5"
"SUPERTECH EV LIMITED","27","23","17","20","35","25","25","33","2","207"
"SUPREME SALES AGENCY","0","0","0","0","0","0","2","1","0","3"
"SUPREME SMART POWER PVT LTD","1","0","0","0","0","0","0","1","0","2"
"SURINDERA AGRO INSDUSTRIES","11","6","5","7","8","7","2","9","2","57"
"SURINDERA COMBINES PVT LTD","0","1","0","6","1","0","0","0","0","8"
"SUZUKI MOTORCYCLE INDIA PVT LTD","2910","2271","3190","2811","2997","2654","2678","2652","436","22599"
"SWAMI AGRO TECH","0","0","0","0","1","0","0","0","0","1"
"SWITCH MOBILITY AUTOMOTIVE LTD","6","24","27","21","27","131","4","28","2","270"
"SYAN AGRO INDUSTRY","2","6","6","7","4","6","0","2","0","33"
"SYNDICATE AUTO COMPONENTS","7","1","4","3","11","2","3","4","0","35"
"T U K INDUSTRIES","323","277","256","275","319","279","339","295","21","2384"
"T VIRAAJ EV PVT LTD","3","3","4","0","5","0","0","2","0","17"
"TAFE LIMITED","971","805","763","581","655","625","840","590","96","5926"
"TAIZHOU CITY (IMPORTER: NXTMOBILITY ENERGY)","0","0","0","0","0","0","2","0","0","2"
"TATA ADVANCED SYSTEMS LTD","0","0","5","12","0","14","25","0","0","56"
"TATA HITACHI CONSTRUCTION MACHINERY COMP. PVT LTD","4","1","3","5","6","0","1","1","1","22"
"TATA MOTORS LTD","3205","2999","3278","3983","3123","2680","3566","2794","470","26098"
"TATA MOTORS PASSENGER VEHICLES LTD","6966","6039","6168","5731","4781","4642","4317","4167","419","43230"
"TATA PASSENGER ELECTRIC MOBILITY LTD","728","439","640","744","871","895","966","788","73","6144"
"TAURUS ELECTRIC VEHICLES","6","3","3","8","5","5","6","6","1","43"
"TEJAS ENERGY","10","9","4","12","12","8","7","13","0","75"
"TEREX INDIA PRIVATE LIMITED","0","0","0","0","2","1","0","0","0","3"
"TERRA MOTORS INDIA PVT LTD","103","62","70","67","45","68","54","58","16","543"
"TESLA INDIA MOTORS AND ENERGY PVT LTD","3","1","0","1","0","0","0","1","0","6"
"THAVE ENTERPRISES","17","9","33","7","35","26","41","29","6","203"
"THUKRAL ELECTRIC BIKES PVT LTD","129","110","82","91","90","82","134","110","26","854"
"TI CLEAN MOBILITY PVT LTD","121","122","65","87","91","88","103","132","3","812"
"TIRTH AGRO TECHNOLOGY PVT LTD","0","0","3","0","0","0","0","2","0","5"
"TIVOLT ELECTRIC VEHICLES PVT LTD","6","4","4","0","1","8","1","0","0","24"
"TOP TEAM MACHINES PVT LTD","27","17","16","20","19","23","26","9","9","166"
"TOYOTA KIRLOSKAR MOTOR PVT LTD","3127","2550","2374","2289","2104","2190","2211","1521","188","18554"
"TOYOTA MATERIAL HANDLING INDIA PVT LTD","0","0","0","0","0","0","1","0","0","1"
"TRISHIKA INDUSTRIES","2","1","0","0","0","0","1","0","0","4"
"TRIUMPH MOTORCYCLES (INDIA) PVT LTD","3","0","0","2","4","1","3","2","1","16"
"TRUZ INDUSTRIES","0","0","0","0","6","0","0","0","0","6"
"TUFAN MOTORS PVT LTD","3","2","0","1","0","0","0","1","0","7"
"TUK INDUSTRIES PVT LTD","0","0","0","0","0","0","3","73","13","89"
"TVS MOTOR COMPANY LTD","50186","48751","52284","60498","59738","50657","44944","40830","7228","415116"
"TWO FRIENDS AUTO ELECTRIC PVT LTD","100","113","89","134","96","120","130","103","38","923"
"TYAGI AGROTECH COMPANY","0","0","0","0","0","0","0","1","0","1"
"U.P. TELELINKS LIMITED","84","88","85","112","60","37","30","35","3","534"
"ULTRAVIOLETTE AUTOMOTIVE PVT LTD","3","4","0","6","3","4","6","2","0","28"
"UMA CHEMTECH PVT LTD","2","2","2","0","0","1","0","1","0","8"
"UMA MOTORS","4","11","8","14","13","8","10","3","0","71"
"UNIQUE AUTO ELECTRIC","139","88","84","133","139","161","196","219","32","1191"
"UNIQUE ENTERPRISES","242","243","204","235","282","276","372","287","36","2177"
"UNIQUE INTERNATIONAL EV PVT LTD","455","367","406","428","484","462","573","521","86","3782"
"UNITED TRANSMOVERS PVT LTD","24","12","15","19","17","14","20","10","5","136"
"UNIVERSAL AUTO ENTERPRISES","8","1","5","4","4","5","6","1","0","34"
"UP FURNITURE","7","7","10","14","10","16","14","18","2","98"
"URWASHI ENTERPRISES","7","3","3","3","7","3","5","2","0","33"
"UTTAM CONSTRUCTION EQUIPMENTS","0","1","1","2","1","2","3","0","1","11"
"V.S.T. TILLERS TRACTORS LIMITED","12","7","5","2","11","7","3","16","1","64"
"V.V.A.AUTO INDUSTRIES PVT.LTD","0","0","0","1","1","2","0","0","0","4"
"VAISHNAVI INDUSTRIES","6","1","0","6","4","3","5","2","0","27"
"VANI ELECTRIC VEHICLES PVT LTD","35","21","18","23","27","17","28","17","0","186"
"VE COMMERCIAL VEHICLES LTD","846","810","851","850","682","575","756","548","108","6026"
"VE COMMERCIAL VEHICLES LTD (VOLVO BUSES DIVISION)","0","0","0","4","0","1","0","1","0","6"
"VELOCIFERO (IMPORTER: KAWVELOCE MOTORS PVT LTD)","5","4","1","0","2","3","6","3","0","24"
"VENUS AUTO WHEELS PVT LTD","45","22","28","26","19","21","21","12","5","199"
