"Maker and Month Wise Data for Telangana (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"SRI SAI ENGINEERING WORKS AP235640703","25","27","33","15","15","22","4","7","0","148"
"SRI SAI KIRAN ENGG WORKS AP203622972","1","8","10","6","6","3","0","1","0","35"
"SRI SRINIVASA ENGINEERING WORKS AP213071506","15","29","15","13","7","2","2","2","0","85"
"SRI VENKATA RAMANA ENGINEERING WORKS AP56240488","5","5","4","2","1","5","1","3","0","26"
"SRI VENKATESWARA ENGINEERING WORKS AP105380358","35","28","26","21","21","10","10","8","0","159"
"SRINIVAS ENGINEERING WORKS RAYAGADA","0","3","2","1","4","1","2","0","0","13"
"SRINIVASA ENGINEERING & TRADING COMPANYAP118062044","0","0","0","0","0","0","88","0","0","88"
"STANDARD AGRICULTURE WORKS(R)","0","0","0","0","0","1","0","0","0","1"
"STANDARD CORPORATION INDIA LTD","27","17","36","20","14","22","5","2","0","143"
"STELLANTIS AUTOMOBILES INDIA PVT LTD","74","44","42","26","74","50","44","39","6","399"
"STELLANTIS INDIA PVT LTD","18","9","17","6","15","15","11","11","2","104"
"SUZUKI MOTORCYCLE INDIA PVT LTD","5275","3659","3110","4767","5046","4916","5754","5092","805","38424"
"SWARAJ AUTOMOTIVES LTD","8","589","35","0","0","0","0","0","0","632"
"SWITCH MOBILITY AUTOMOTIVE LTD","0","0","0","0","0","0","2","2","0","4"
"TAFE LIMITED","0","0","0","0","0","0","0","1","0","1"
"TATA HITACHI CONSTRUCTION MACHINERY CO.LTD.","0","4","0","0","0","0","0","0","0","4"
"TATA HITACHI CONSTRUCTION MACHINERY COMP. PVT LTD","0","0","0","1","8","0","5","12","4","30"
"TATA MOTORS LTD","943","1393","1990","999","761","923","843","568","1","8421"
"TATA MOTORS PASSENGER VEHICLES LTD","3335","1659","2287","1422","3405","2077","2077","1866","365","18493"
"TATA PASSENGER ELECTRIC MOBILITY LTD","777","460","234","320","1235","1098","1231","1116","183","6654"
"TEREX INDIA PRIVATE LIMITED","0","0","0","0","0","0","0","1","0","1"
"TESLA INDIA MOTORS AND ENERGY PVT LTD","0","0","1","0","1","4","16","18","8","48"
"THIRUMALA ENGG WORKS","6","7","4","3","2","0","0","0","0","22"
