"Maker and Month Wise Data for Punjab (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"SUPER STANDARD AGRO COMBINE","0","0","0","0","0","1","0","0","0","1"
"SUPERTECH EV LIMITED","6","6","1","10","3","14","15","28","5","88"
"SURINDERA AGRO INSDUSTRIES","7","3","17","4","4","4","6","3","1","49"
"SUZUKI MOTORCYCLE INDIA PVT LTD","263","188","199","183","169","167","209","233","21","1632"
"SWITCH MOBILITY AUTOMOTIVE LTD","0","0","0","0","1","3","0","3","0","7"
"SYAN AGRO INDUSTRY","2","4","3","2","1","0","0","2","0","14"
"TAFE LIMITED","96","109","117","95","135","100","91","75","13","831"
"TATA ADVANCED SYSTEMS LTD","6","0","0","0","0","0","0","0","0","6"
"TATA HITACHI CONSTRUCTION MACHINERY COMP. PVT LTD","0","1","0","1","2","2","0","0","0","6"
"TATA MOTORS LTD","955","822","827","1056","738","871","895","784","151","7099"
"TATA MOTORS PASSENGER VEHICLES LTD","1103","1140","1109","986","735","749","743","766","153","7484"
"TATA PASSENGER ELECTRIC MOBILITY LTD","122","56","113","160","156","226","323","248","62","1466"
"TERRA MOTORS INDIA PVT LTD","1","0","0","0","0","11","1","0","0","13"
"TESLA INDIA MOTORS AND ENERGY PVT LTD","0","1","0","0","3","0","1","3","0","8"
"THUKRAL ELECTRIC BIKES PVT LTD","0","0","0","0","0","0","0","1","0","1"
"TI CLEAN MOBILITY PVT LTD","0","7","0","6","4","2","6","18","0","43"
"TIRTH AGRO TECHNOLOGY PVT LTD","0","5","7","4","1","1","2","4","0","24"
"TIVOLT ELECTRIC VEHICLES PVT LTD","0","3","1","0","0","0","1","0","0","5"
"TORK MOTORS PVT LTD","0","1","0","0","0","0","0","0","0","1"
"TOYOTA KIRLOSKAR MOTOR PVT LTD","2006","1722","1612","1678","1599","1664","1512","1446","341","13580"
"TRIUMPH MOTORCYCLES (INDIA) PVT LTD","2","1","0","0","1","3","2","0","0","9"
"TVS MOTOR COMPANY LTD","6447","5476","5756","6026","5495","6040","6757","7068","1273","50338"
"TWO FRIENDS AUTO ELECTRIC PVT LTD","1","0","3","0","1","1","1","1","0","8"
"TYAGI AGROTECH COMPANY","2","1","2","1","2","1","0","0","0","9"
"U.P. TELELINKS LIMITED","3","3","4","0","3","4","2","0","0","19"
"ULTRAVIOLETTE AUTOMOTIVE PVT LTD","1","1","0","0","0","0","0","0","0","2"
"UNIQUE AUTO ELECTRIC","65","23","24","30","63","57","92","74","3","431"
"UNIQUE ENTERPRISES","12","22","34","41","35","20","46","51","6","267"
"UNIQUE INTERNATIONAL EV PVT LTD","1","32","2","13","1","0","17","30","1","97"
