"Maker and Month Wise Data for Uttarakhand (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"KUBOTA AGRICULTURAL MACHINERY INDIA PVT.LTD.","0","0","0","0","0","1","0","0","0","1"
"LECTRIX E VEHICLES PVT LTD","7","3","12","12","20","22","37","15","2","130"
"LIUGONG INDIA PVT. LTD","0","0","2","1","2","0","0","0","0","5"
"LOCAL TRAILER MANUFACTURER","33","28","9","3","9","7","6","4","1","100"
"LOHIA AUTO INDUSTRIES","2","1","11","2","3","1","1","0","1","22"
"M.K. ENTERPRISES","0","0","0","0","0","0","3","0","0","3"
"M/S SCHWING STETTER (INDIA) PRIVATE LIMITED","1","1","1","1","1","1","0","0","0","6"
"M/S SHRIRAM AUTO TECH PVT LTD","1","0","0","0","0","0","0","0","0","1"
"MAHINDRA & MAHINDRA LIMITED","1642","1208","1159","1455","1351","1144","1416","1185","227","10787"
"MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION)","85","59","47","52","58","75","46","57","17","496"
"MAHINDRA & MAHINDRA LIMITED (TRACTOR)","175","199","212","155","163","191","123","102","23","1343"
"MAHINDRA ELECTRIC AUTOMOBILE LTD","39","29","38","73","57","48","82","59","8","433"
"MAHINDRA LAST MILE MOBILITY LTD","172","156","166","261","278","283","349","317","46","2028"
"MANITA CITY MOTORS LLP","7","2","3","2","5","1","3","7","3","33"
"MANITOU EQUIPMENT INDIA PVT LTD","0","1","0","0","0","0","0","0","0","1"
"MANKU AGRO TECH PVT LTD","0","0","0","0","1","0","0","0","0","1"
"MARUTI SUZUKI INDIA LTD","3973","2421","2530","2628","2467","2512","2413","2302","402","21648"
"MERCEDES -BENZ AG","0","0","1","0","1","0","1","1","2","6"
"MERCEDES BENZ","0","1","0","0","0","0","0","0","0","1"
"MERCEDES-BENZ INDIA PVT LTD","21","7","12","11","10","9","12","13","5","100"
"METAL PRESSING & ENGG WORKS","0","0","1","0","0","0","0","0","0","1"
